test_prop,test_age,test_gender,test_race,source_n,source_prop,fairface_n,fairface_prop,fairface_p_value,fairface_power,deepface_n,deepface_prop,deepface_p_value,deepface_power
races,3-9,Male,Indian,581,0.0963855421686747,664,0.0662650602409639,0.0510791272359623,0.153880620966274,0,0,0,0
age_bins,3-9,Male,Other,768,0.0390625,2680,0.0466417910447761,0.371474994219911,0.0201118477527272,2528,0,1.81206578335306e-23,0.999999999988806
genders,3-9,Male,Other,139,0.215827338129496,310,0.403225806451613,0.000112767274940867,0.852216777028481,0,0,0,0
races,3-9,Male,Other,581,0.0516351118760757,664,0.188253012048193,3.23446719776099e-13,0.999999042120255,0,0,0,0
age_bins,3-9,Male,All,12581,0.0461807487481122,12533,0.0529801324503311,0.0130628353546583,0.314041930457504,14833,0,3.25435879532502e-154,1
genders,3-9,Male,All,1371,0.423778264040846,1601,0.41474078700812,0.618624801235551,0.00702051516997786,0,0,0,0
age_bins,3-9,All,White,10221,0.0718129341551707,9285,0.0770059235325794,0.167192418892591,0.0562269407430022,9037,0,9.54952566240205e-149,1
races,3-9,All,White,1371,0.535375638220277,1601,0.446595877576515,1.386722351611e-06,0.968896984813279,0,0,0,0
age_bins,3-9,All,Asian,3586,0.0638594534300056,3489,0.0928632846087704,5.52434624306918e-06,0.944032731824447,5794,0,1.80257940243387e-84,1
races,3-9,All,Asian,1371,0.167031363967907,1601,0.202373516552155,0.0135857079850718,0.312030941523834,0,0,0,0
age_bins,3-9,All,Black,4558,0.023036419482229,3981,0.0298919869379553,0.048006463331185,0.159922684469377,3558,0,8.04961621131634e-20,1
races,3-9,All,Black,1371,0.0765864332603939,1601,0.0743285446595878,0.816197087583102,0.00380206671297376,0,0,0,0
age_bins,3-9,All,Indian,4027,0.0407251055376211,2483,0.0535642368103101,0.0158896790831791,0.278170839614806,1470,0,3.9858178874687e-15,1
races,3-9,All,Indian,1371,0.11962071480671,1601,0.0830730793254216,0.000927133029342407,0.631616139700638,0,0,0,0
age_bins,3-9,All,Other,1710,0.0812865497076023,4853,0.0638780135998352,0.0142041699445329,0.281743283881588,4194,0,6.536907179335e-78,1
races,3-9,All,Other,1371,0.101385849744712,1601,0.193628981886321,2.56168679631031e-12,0.999985684216685,0,0,0,0
age_bins,3-9,All,All,24102,0.0568832462036346,24091,0.0664563529948944,1.25264126846996e-05,0.91978283214344,24053,0,3.28909954509755e-308,1
age_bins,10-19,Female,White,4674,0.114676936243047,4539,0.0687376074025116,2.42746323200807e-14,0.999998869650836,3936,0.0215955284552846,4.08738436713402e-62,1
genders,10-19,Female,White,968,0.553719008264463,644,0.484472049689441,0.00638715866917799,0.405147705504202,148,0.574324324324324,0.638406310506192,0.00655654693535277
races,10-19,Female,White,976,0.549180327868853,779,0.400513478818999,5.93313278249706e-10,0.99942722113834,233,0.36480686695279,4.21067541891538e-07,0.98376106959148
age_bins,10-19,Female,Asian,1942,0.0401647785787848,1895,0.0358839050131926,0.488333749106969,0.0116001303142442,2248,0.047153024911032,0.270955930389785,0.0312580658297444
genders,10-19,Female,Asian,118,0.661016949152542,128,0.53125,0.038438570442215,0.187098695436697,265,0.4,2.3515769386802e-06,0.965184284053913
races,10-19,Female,Asian,976,0.0799180327868853,779,0.0872913992297818,0.578413183760355,0.00812137742005945,233,0.454935622317597,1.67760438605836e-46,1
age_bins,10-19,Female,Black,2221,0.0576316974335885,1851,0.0804970286331713,0.0039085832000479,0.462960280400797,856,0,7.2551685347386e-13,1
genders,10-19,Female,Black,233,0.549356223175966,253,0.588932806324111,0.378640910070357,0.0184904660264198,0,0,0,0
races,10-19,Female,Black,976,0.131147540983607,779,0.191270860077022,0.000598261834314329,0.673293540391866,233,0,5.03553226632834e-09,0.999999999999692
age_bins,10-19,Female,Indian,1742,0.0631458094144661,1100,0.0827272727272727,0.0473303829177166,0.156692586834384,514,0,5.17992001211072e-09,0.999999999999576
genders,10-19,Female,Indian,179,0.614525139664804,135,0.674074074074074,0.276411445183533,0.0303789936376569,1,0,0.208730807042469,0
races,10-19,Female,Indian,976,0.112704918032787,779,0.116816431322208,0.788140222012131,0.00408051469411472,233,0,7.66604149440809e-08,0.999999999933278
age_bins,10-19,Female,Other,942,0.131634819532909,2173,0.0731707317073171,1.8406312450762e-07,0.978542535878034,1666,0.0252100840336134,1.0880777174068e-26,0.999999999999944
genders,10-19,Female,Other,184,0.673913043478261,301,0.528239202657807,0.00158999959649297,0.588883577788508,82,0.51219512195122,0.011918344755027,0.317068435503667
races,10-19,Female,Other,976,0.127049180327869,779,0.20410783055199,1.2934827386038e-05,0.915342749456011,233,0.180257510729614,0.033979873226895,0.174345463732677
age_bins,10-19,Female,All,11521,0.0847148685009982,11558,0.0673992040145354,6.97528039948728e-07,0.97733563848546,9220,0.0252711496746204,1.12969470726048e-73,1
genders,10-19,Female,All,1682,0.58026159334126,1461,0.533196440793977,0.00804472996923927,0.375415634062443,496,0.469758064516129,1.34932144690521e-05,0.914981306207773
age_bins,10-19,Male,White,5547,0.0778799351000541,4746,0.0699536451748841,0.126215518167243,0.075635059143468,5101,0.0123505195059792,6.24197851248548e-58,1
genders,10-19,Male,White,968,0.446280991735537,644,0.515527950310559,0.00638715866917797,0.405147705504202,148,0.425675675675676,0.638406310506192,0.00655654693535273
races,10-19,Male,White,706,0.611898016997167,682,0.486803519061584,2.81750657041028e-06,0.957981636034281,263,0.239543726235741,6.27521354697216e-25,0.999999999999995
age_bins,10-19,Male,Asian,1644,0.024330900243309,1594,0.0376411543287327,0.0286160402015771,0.220674639121584,3546,0.044839255499154,0.000344338102108011,0.798379912678343
genders,10-19,Male,Asian,118,0.338983050847458,128,0.46875,0.038438570442215,0.187098695436697,265,0.6,2.3515769386802e-06,0.965184284053912
races,10-19,Male,Asian,706,0.056657223796034,682,0.0879765395894428,0.0240691639790811,0.241105286458627,263,0.604562737642586,1.21348522770555e-78,1
age_bins,10-19,Male,Black,2337,0.0449293966623877,2130,0.0488262910798122,0.537904733377818,0.00950129843530288,2702,0,8.4980635824059e-29,1
genders,10-19,Male,Black,233,0.450643776824034,253,0.411067193675889,0.378640910070357,0.0184904660264196,0,0,0,0
races,10-19,Male,Black,706,0.148725212464589,682,0.152492668621701,0.844450647547909,0.00356779878428625,263,0,3.51239398361914e-11,0.999999999999999
age_bins,10-19,Male,Indian,2285,0.0301969365426696,1383,0.0318148951554591,0.783440478340184,0.00412685326935117,956,0.00104602510460251,1.9280026165669e-07,0.999995100058101
genders,10-19,Male,Indian,179,0.385474860335196,135,0.325925925925926,0.276411445183533,0.0303789936376568,1,1,0.208730807042469,0
races,10-19,Male,Indian,706,0.0977337110481586,682,0.0645161290322581,0.0236747652318613,0.245019929373694,263,0.00380228136882129,5.09901900935569e-07,0.999981597383882
age_bins,10-19,Male,Other,768,0.078125,2680,0.0529850746268657,0.00891111371519564,0.31741706273573,2528,0.0158227848101266,1.18809324343297e-18,0.999998425706762
genders,10-19,Male,Other,184,0.326086956521739,301,0.471760797342193,0.00158999959649297,0.588883577788509,82,0.48780487804878,0.011918344755027,0.317068435503667
races,10-19,Male,Other,706,0.084985835694051,682,0.208211143695015,7.59788005883887e-11,0.999875551873391,263,0.152091254752852,0.00226231692175056,0.47356514901667
age_bins,10-19,Male,All,12581,0.0561163659486527,12533,0.0544163408601293,0.5555190202464,0.00888599251998086,14833,0.0177307355221466,6.16190991778055e-66,1
genders,10-19,Male,All,1682,0.41973840665874,1461,0.466803559206023,0.00804472996923927,0.37541563406245,496,0.530241935483871,1.34932144690521e-05,0.914981306207774
age_bins,10-19,All,White,10221,0.0947069758340671,9285,0.0693591814754981,1.35079519966378e-10,0.999761769058972,9037,0.016377116299657,3.02492899389124e-119,1
races,10-19,All,White,1682,0.575505350772889,1461,0.440793976728268,4.84377432958255e-14,0.999997781890827,496,0.298387096774194,1.98131527822311e-27,1
age_bins,10-19,All,Asian,3586,0.0329057445621863,3489,0.0366867297219834,0.385440299916157,0.0179349409048249,5794,0.045736969278564,0.00227688809120197,0.559449707010592
races,10-19,All,Asian,1682,0.0701545778834721,1461,0.0876112251882272,0.0691694584387692,0.124197794862597,496,0.534274193548387,7.86326567375679e-126,1
age_bins,10-19,All,Black,4558,0.0511189118034226,3981,0.0635518713890982,0.0133685133076197,0.308903127020047,3558,0,1.2620936971158e-42,1
races,10-19,All,Black,1682,0.138525564803805,1461,0.173169062286105,0.00737806546533078,0.384667112602524,496,0,1.76267861310488e-18,1
age_bins,10-19,All,Indian,4027,0.0444499627514279,2483,0.0543697140555779,0.0696053122627418,0.120661512347501,1470,0.000680272108843537,6.98426549663935e-16,1
races,10-19,All,Indian,1682,0.106420927467301,1461,0.0924024640657084,0.191157703902085,0.0487759629130165,496,0.00201612903225806,1.16137296896343e-13,1
age_bins,10-19,All,Other,1710,0.107602339181287,4853,0.0620234906243561,5.81520250235683e-10,0.998140288326278,4194,0.0195517405817835,1.57829733003271e-49,1
races,10-19,All,Other,1682,0.109393579072533,1461,0.206023271731691,7.46062216575385e-14,0.999997026578161,496,0.165322580645161,0.000828808901320317,0.590034193639697
age_bins,10-19,All,All,24102,0.0697867396896523,24091,0.0606450541696069,4.82409047254664e-05,0.864045943220287,24053,0.020621128341579,1.4254634936832e-148,1
age_bins,0-2,Female,White,4674,0.0631151048352589,4539,0.0793126239259749,0.0024896936085696,0.523610306087799,3936,0,6.87592149665423e-58,1
genders,0-2,Female,White,549,0.537340619307832,685,0.525547445255474,0.67994801914274,0.00566895375286288,0,0,0,0
races,0-2,Female,White,1054,0.27988614800759,806,0.446650124069479,8.54735637742672e-14,0.999996434876449,0,0,0,0
age_bins,0-2,Female,Asian,1942,0.191555097837281,1895,0.127176781002639,5.27656318760791e-08,0.993880353737916,2248,0,8.8319006191116e-105,1
genders,0-2,Female,Asian,851,0.437132784958872,708,0.340395480225989,9.88722814786819e-05,0.826639222666088,0,0,0,0
races,0-2,Female,Asian,1054,0.352941176470588,806,0.299007444168734,0.0142018205499274,0.306148984618609,0,0,0,0
age_bins,0-2,Female,Black,2221,0.0189104007203962,1851,0.0199891950297137,0.803734101019422,0.00391901261294297,856,0,5.09800865087375e-05,0.999949960220047
genders,0-2,Female,Black,72,0.583333333333333,72,0.513888888888889,0.402424029465781,0.0166673341198365,0,0,0,0
races,0-2,Female,Black,1054,0.0398481973434535,806,0.0459057071960298,0.52091359590607,0.0101026758105546,0,0,0,0
age_bins,0-2,Female,Indian,1742,0.10849598163031,1100,0.0318181818181818,1.47793378091282e-13,0.999999869928045,514,0,6.10921972107519e-15,1
genders,0-2,Female,Indian,373,0.506702412868633,79,0.443037974683544,0.303894664639166,0.0263645532014459,0,0,0,0
races,0-2,Female,Indian,1054,0.179316888045541,806,0.043424317617866,4.52692515423876e-19,0.999999999992567,0,0,0,0
age_bins,0-2,Female,Other,942,0.165605095541401,2173,0.0612057063966866,2.8463508088331e-20,0.999999994101173,1666,0,8.80232320785114e-66,1
genders,0-2,Female,Other,276,0.565217391304348,294,0.452380952380952,0.00708431304340647,0.393973849547476,0,0,0,0
races,0-2,Female,Other,1054,0.148007590132827,806,0.165012406947891,0.315773600665039,0.0246169140250558,0,0,0,0
age_bins,0-2,Female,All,11521,0.0914851141393976,11558,0.0697352483128569,1.28536324291203e-09,0.999077435026325,9220,0,2.87642781337112e-195,1
genders,0-2,Female,All,2121,0.496935407826497,1838,0.438520130576714,0.000239888902396589,0.760580518247772,0,0,0,0
age_bins,0-2,Male,White,5547,0.0457905173967911,4746,0.0684787189211968,6.35980892761262e-07,0.977238662758636,5101,0,5.63016044826366e-54,1
genders,0-2,Male,White,549,0.462659380692168,685,0.474452554744526,0.67994801914274,0.00566895375286299,0,0,0,0
races,0-2,Male,White,1067,0.23805060918463,1032,0.314922480620155,8.16715125963711e-05,0.835819830399399,0,0,0,0
age_bins,0-2,Male,Asian,1644,0.291362530413625,1594,0.29297365119197,0.919718774334247,0.00314782768438182,3546,0,1.62871247794627e-249,1
genders,0-2,Male,Asian,851,0.562867215041128,708,0.659604519774011,9.88722814786819e-05,0.826639222666087,0,0,0,0
races,0-2,Male,Asian,1067,0.44892221180881,1032,0.452519379844961,0.868481215295633,0.00340234766484224,0,0,0,0
age_bins,0-2,Male,Black,2337,0.0128369704749679,2130,0.0164319248826291,0.316264362973319,0.024656015553961,2702,0,3.48289222201966e-09,0.999999802265867
genders,0-2,Male,Black,72,0.416666666666667,72,0.486111111111111,0.402424029465781,0.0166673341198364,0,0,0,0
races,0-2,Male,Black,1067,0.028116213683224,1032,0.0339147286821705,0.443273082955193,0.0139685184224865,0,0,0,0
age_bins,0-2,Male,Indian,2285,0.0805251641137856,1383,0.0318148951554591,3.18727300567937e-09,0.999657575199369,956,0,1.65305344054119e-19,1
genders,0-2,Male,Indian,373,0.493297587131367,79,0.556962025316456,0.303894664639166,0.0263645532014459,0,0,0,0
races,0-2,Male,Indian,1067,0.17244611059044,1032,0.0426356589147287,1.23507004909314e-21,0.999999999999467,0,0,0,0
age_bins,0-2,Male,Other,768,0.15625,2680,0.0600746268656716,8.80968505485687e-18,0.999999164828787,2528,0,3.80693459070955e-91,1
genders,0-2,Male,Other,276,0.434782608695652,294,0.547619047619048,0.00708431304340647,0.393973849547478,0,0,0,0
races,0-2,Male,Other,1067,0.112464854732896,1032,0.156007751937984,0.00340230589380726,0.486722109315076,0,0,0,0
age_bins,0-2,Male,All,12581,0.0848104284238137,12533,0.082342615495093,0.479845491197169,0.0119939336123488,14833,0,1.2900376509102e-286,1
genders,0-2,Male,All,2121,0.503064592173503,1838,0.561479869423286,0.000239888902396589,0.76058051824777,0,0,0,0
age_bins,0-2,All,White,10221,0.0537129439389492,9285,0.0737749057619817,9.01091530208182e-09,0.997261505792951,9037,0,1.13405841029907e-110,1
races,0-2,All,White,2121,0.258840169731259,1838,0.372687704026115,1.22974466993975e-14,0.99999896627541,0,0,0,0
age_bins,0-2,All,Asian,3586,0.237311767986615,3489,0.202923473774721,0.000484928385953735,0.700183403443601,5794,0,0,1
races,0-2,All,Asian,2121,0.401225836869401,1838,0.385201305767138,0.303393815441475,0.0263290584342773,0,0,0,0
age_bins,0-2,All,Black,4558,0.0157964019306713,3981,0.0180859080633007,0.41240648363899,0.0158758860801672,3558,0,5.05918224546917e-14,1
races,0-2,All,Black,2121,0.0339462517680339,1838,0.0391730141458107,0.380990588840634,0.0182232440055043,0,0,0,0
age_bins,0-2,All,Indian,4027,0.0926247827166625,2483,0.0318163511880789,6.87757133705436e-21,0.999999999999731,1470,0,1.25322493546555e-33,1
races,0-2,All,Indian,2121,0.175860443187176,1838,0.0429815016322089,2.82662620064497e-39,1,0,0,0,0
age_bins,0-2,All,Other,1710,0.16140350877193,4853,0.0605810838656501,3.99290005579492e-37,1,4194,0,1.88098640908781e-156,1
races,0-2,All,Other,2121,0.13012729844413,1838,0.159956474428727,0.00766984082657576,0.379650486345356,0,0,0,0
age_bins,0-2,All,All,24102,0.0880009957679861,24091,0.0762940517205595,2.87285805921479e-06,0.956811456177822,24053,0,0,1
age_bins,20-29,Female,White,4674,0.239623448866068,4539,0.328045825071602,4.60911377604551e-21,0.999999999950753,3936,0.373221544715447,2.44342975430463e-41,1
genders,20-29,Female,White,2155,0.519721577726218,2280,0.653070175438596,1.90516391088289e-19,0.999999999380564,2993,0.490811894420314,0.0406948460513087,0.178591253453083
races,20-29,Female,White,4484,0.249776984834969,5647,0.263679829998229,0.111941524311385,0.0843409822319157,4073,0.360667812423275,6.97483720650572e-29,1
age_bins,20-29,Female,Asian,1942,0.532955715756952,1895,0.614775725593668,3.00249499743071e-07,0.984713381145513,2248,0.541814946619217,0.566264214501399,0.00852751251672803
genders,20-29,Female,Asian,1455,0.711340206185567,1528,0.762434554973822,0.00152281293366161,0.580616394275693,2923,0.416695176188847,2.09041357241282e-75,1
races,20-29,Female,Asian,4484,0.230820695807315,5647,0.206304232335753,0.00295197574090365,0.49963298767041,4073,0.299042474834274,8.29177490725717e-13,0.999985900786059
age_bins,20-29,Female,Black,2221,0.465105808194507,1851,0.614802809292274,1.51389679459926e-21,0.999999999981134,856,0.445093457943925,0.318199535677699,0.02452778717267
genders,20-29,Female,Black,1950,0.52974358974359,1866,0.609860664523044,5.8646573841148e-07,0.979070855096138,1457,0.26149622512011,1.07971738771076e-55,1
races,20-29,Female,Black,4484,0.230374665477252,5647,0.201522932530547,0.000439379100192434,0.7052043101371,4073,0.0935428431131844,5.78533814371688e-65,1
age_bins,20-29,Female,Indian,1742,0.515499425947187,1100,0.559090909090909,0.0232945000250708,0.242942815482699,514,0.385214007782101,2.0668768629286e-07,0.988232866194506
