test_prop,test_age,test_gender,test_race,source_prop,fairface_n,fairface_prop,fairface_p_value,deepface_n,deepface_prop,deepface_p_value
races,10-19,Male,Black,0.148725212464589,682,0.152492668621701,0.782155222391895,263,0,1.21407588023424e-11
age_bins,10-19,Male,Indian,0.0301969365426696,1383,0.0318148951554591,0.725134371025419,956,0.00104602510460251,1.38721152396695e-07
genders,10-19,Male,Indian,0.385474860335196,135,0.325925925925926,0.155146581738519,1,1,0.206726683160219
races,10-19,Male,Indian,0.0977337110481586,682,0.0645161290322581,0.00348615516135027,263,0.00380228136882129,2.90071780578983e-07
age_bins,10-19,Male,Other,0.078125,2680,0.0529850746268657,1.2374949800668e-06,2528,0.0158227848101266,8.81650344550106e-32
genders,10-19,Male,Other,0.326086956521739,301,0.471760797342193,6.99368548004602e-08,82,0.48780487804878,0.00178474114135988
races,10-19,Male,Other,0.084985835694051,682,0.208211143695015,4.14740410066197e-31,263,0.152091254752852,9.51852465411481e-05
age_bins,10-19,Male,All,0.0561163659486527,12533,0.0544163408601293,0.408265831850682,14833,0.0177307355221466,4.91046449923095e-92
genders,10-19,Male,All,0.41973840665874,1461,0.466803559206023,0.000267166936674772,496,0.530241935483871,6.1410290803937e-07
age_bins,10-19,All,White,0.0947069758340671,9285,0.0693591814754981,3.66686517923924e-17,9037,0.016377116299657,5.80975916048172e-143
races,10-19,All,White,0.575505350772889,1461,0.440793976728268,1.03020563852396e-25,496,0.298387096774194,4.415897217331e-36
age_bins,10-19,All,Asian,0.0329057445621863,3489,0.0366867297219834,0.210589963991024,5794,0.045736969278564,4.37419112265964e-08
races,10-19,All,Asian,0.0701545778834721,1461,0.0876112251882272,0.00898886086915171,496,0.534274193548387,0
age_bins,10-19,All,Black,0.0511189118034226,3981,0.0635518713890982,0.000368270456989437,3558,0,6.83443384598936e-44
races,10-19,All,Black,0.138525564803805,1461,0.173169062286105,0.000126490678939982,496,0,2.11696016967206e-19
age_bins,10-19,All,Indian,0.0444499627514279,2483,0.0543697140555779,0.0164656030839143,1470,0.000680272108843537,4.15285525587297e-16
races,10-19,All,Indian,0.106420927467301,1461,0.0924024640657084,0.0822843549181078,496,0.00201612903225806,4.68932101773629e-14
age_bins,10-19,All,Other,0.107602339181287,4853,0.0620234906243561,6.13101418473978e-25,4194,0.0195517405817835,6.37278249429883e-76
races,10-19,All,Other,0.109393579072533,1461,0.206023271731691,1.31689261975751e-32,496,0.165322580645161,6.5904106585085e-05
age_bins,10-19,All,All,0.0697867396896523,24091,0.0606450541696069,2.56228951758723e-08,24053,0.020621128341579,4.33671011337117e-197
age_bins,0-2,Female,White,0.0631151048352589,4539,0.0793126239259749,7.20136619252358e-06,3936,0,6.44984708833864e-60
genders,0-2,Female,White,0.537340619307832,685,0.525547445255474,0.535888355789138,0,0,1
races,0-2,Female,White,0.27988614800759,806,0.446650124069479,2.65666507081362e-26,0,0,1
age_bins,0-2,Female,Asian,0.191555097837281,1895,0.127176781002639,1.06754597562509e-12,2248,0,3.74993045058024e-118
genders,0-2,Female,Asian,0.437132784958872,708,0.340395480225989,2.11192201505335e-07,0,0,1
races,0-2,Female,Asian,0.352941176470588,806,0.299007444168734,0.00135489270939696,0,0,1
age_bins,0-2,Female,Black,0.0189104007203962,1851,0.0199891950297137,0.73329103224262,856,0,4.86677407421123e-05
